2026-06-30 23:13:05 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-06-30 23:13:05 | INFO     | api_app | Creating aiohttp web application
2026-06-30 23:13:20 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-06-30 23:13:20 | INFO     | api_app | Creating aiohttp web application
2026-06-30 23:13:20 | INFO     | api_app | Registered all API route endpoints
2026-06-30 23:13:20 | INFO     | api_app | Application created successfully
2026-06-30 23:13:20 | INFO     | api_app | Initializing APScheduler background jobs
2026-06-30 23:19:40 | INFO     | api_app | Shutting down APScheduler background jobs
2026-06-30 23:19:41 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-06-30 23:19:41 | INFO     | api_app | Creating aiohttp web application
2026-06-30 23:22:40 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-06-30 23:22:40 | INFO     | api_app | Creating aiohttp web application
2026-06-30 23:22:40 | INFO     | api_app | Registered all API route endpoints
2026-06-30 23:22:40 | INFO     | api_app | Application created successfully
2026-06-30 23:22:40 | INFO     | api_app | Initializing APScheduler background jobs
2026-06-30 23:34:16 | INFO     | api_app | Shutting down APScheduler background jobs
2026-07-01 00:19:25 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-01 00:19:25 | INFO     | api_app | Creating aiohttp web application
2026-07-01 00:19:25 | INFO     | api_app | Registered all API route endpoints
2026-07-01 00:19:25 | INFO     | api_app | Application created successfully
2026-07-01 00:19:25 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-01 19:58:05 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-01 19:58:05 | INFO     | api_app | Creating aiohttp web application
2026-07-01 19:58:05 | INFO     | api_app | Registered all API route endpoints
2026-07-01 19:58:05 | INFO     | api_app | Application created successfully
2026-07-01 19:58:05 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-01 19:58:05 | INFO     | api_app | Shutting down APScheduler background jobs
2026-07-01 19:59:07 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-01 19:59:07 | INFO     | api_app | Creating aiohttp web application
2026-07-01 19:59:07 | INFO     | api_app | Registered all API route endpoints
2026-07-01 19:59:07 | INFO     | api_app | Application created successfully
2026-07-01 19:59:07 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-01 20:30:44 | INFO     | api_app | Shutting down APScheduler background jobs
2026-07-01 20:30:45 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-01 20:30:45 | INFO     | api_app | Creating aiohttp web application
2026-07-01 20:30:45 | INFO     | api_app | Registered all API route endpoints
2026-07-01 20:30:45 | INFO     | api_app | Application created successfully
2026-07-01 20:30:45 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-01 20:44:27 | INFO     | api_app | Shutting down APScheduler background jobs
2026-07-01 23:32:31 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-01 23:32:31 | INFO     | api_app | Creating aiohttp web application
2026-07-01 23:32:31 | INFO     | api_app | Registered all API route endpoints
2026-07-01 23:32:31 | INFO     | api_app | Application created successfully
2026-07-01 23:32:31 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-01 23:42:15 | INFO     | api_app | Shutting down APScheduler background jobs
2026-07-02 00:44:16 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-02 00:44:16 | INFO     | api_app | Creating aiohttp web application
2026-07-02 00:44:16 | INFO     | api_app | Registered all API route endpoints
2026-07-02 00:44:16 | INFO     | api_app | Application created successfully
2026-07-02 00:44:16 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-02 00:48:43 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-02 00:48:43 | INFO     | api_app | Creating aiohttp web application
2026-07-02 00:48:43 | INFO     | api_app | Registered all API route endpoints
2026-07-02 00:48:43 | INFO     | api_app | Application created successfully
2026-07-02 00:48:43 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-02 00:48:43 | INFO     | api_app | Shutting down APScheduler background jobs
2026-07-02 01:15:37 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-02 01:15:37 | INFO     | api_app | Creating aiohttp web application
2026-07-02 01:15:37 | INFO     | api_app | Registered all API route endpoints
2026-07-02 01:15:37 | INFO     | api_app | Application created successfully
2026-07-02 01:15:37 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-02 01:30:13 | INFO     | api_app | Shutting down APScheduler background jobs
2026-07-02 01:32:14 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-02 01:32:14 | INFO     | api_app | Creating aiohttp web application
2026-07-02 01:32:14 | INFO     | api_app | Registered all API route endpoints
2026-07-02 01:32:14 | INFO     | api_app | Application created successfully
2026-07-02 01:32:14 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-02 01:50:25 | INFO     | api_app | Shutting down APScheduler background jobs
2026-07-02 20:31:22 | INFO     | api_app | Starting aiohttp server on 127.0.0.1:8000
2026-07-02 20:31:22 | INFO     | api_app | Creating aiohttp web application
2026-07-02 20:31:22 | INFO     | api_app | Registered all API route endpoints
2026-07-02 20:31:22 | INFO     | api_app | Application created successfully
2026-07-02 20:31:22 | INFO     | api_app | Initializing APScheduler background jobs
2026-07-02 20:46:52 | INFO     | api_app | Shutting down APScheduler background jobs
